concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Albert Einstein was born in 1879.,Albert Einstein,0.9894000249215308,0.0,1.0,0.9894000249215308,-0.8423071936316168,0.5059848887716826,0.12007489149369766,-2.1196396350860596,0.45002027638880926,-0.7986574470996857,2.3217174538382586,0.06970076548620549,0.36430744712837976,3.288462719316456,-10.1076863235794,-2.917837709901433,-0.876288486784324,0.49775872291973045,0.12007489149369766,-2.1196396350860596,0.45002027638880926,-0.7986574470996857,2.4019682052403626,0.07548606630429698,0.4018719282890443,2.700965284783323,-8.76288486784324,-2.771067505620822
Albert Einstein died in 1955.,Albert Einstein,0.991270831370425,0.0,1.0,0.991270831370425,-0.8240420890718021,0.6282051301822184,0.006948223416101138,-4.969269275665283,0.6517502253449238,-0.42809388041496277,2.2796959733924487,0.07092292583375609,1.7910501660773888,2.3330013130712426,-9.064462979789823,-2.7330384209117913,-0.8449959894176573,0.6369346817696502,0.006948223416101138,-4.969269275665283,0.6663530115344706,-0.4061758816242218,2.32796847804224,0.07717696263703774,1.9653254573483832,2.0006106860411648,-8.449959894176573,-2.6721119402673335
Albert Einstein was a theoretical physicist.,Albert Einstein,0.996157921045032,0.0,1.0,0.996157921045032,-1.1453645403846167,0.5780193762179893,0.0016954105409743637,-6.379830360412598,0.43125528456669876,-0.8431160151958466,3.1435871124444303,0.11973697453794059,3.267527907999709,1.9160792863621252,-11.453645403846167,-3.6219606988072965,-1.177477038858342,0.632050252000907,0.0016954105409743637,-6.379830360412598,0.692817084208986,-0.42749787494540215,3.2461738921178878,0.13504078144795445,4.0789958805907505,1.1807914583760735,-9.419816310866736,-3.330407995472758
Albert Einstein is widely regarded as one of the most influential scientists.,Albert Einstein,0.9974734365477722,0.0,1.0,0.9974734365477722,-1.3730277996842883,0.5344946350362523,0.002473200821008528,-6.002242088317871,0.48884753208622933,-0.7175847291946411,3.947284206086847,0.12116578009577081,3.5400282881945677,2.6180154754407408,-19.222389195580035,-5.137399608934689,-1.6440112605225294,0.4501234511643532,0.002473200821008528,-6.002242088317871,0.4528888457463004,-0.7921966314315796,5.175889769578436,0.08333710044507052,4.166130784885409,2.3518924668719694,-16.440112605225295,-5.1988200822156525
Albert Einstein is considered one of the most influential scientists in human history.,Albert Einstein,0.9865216129912076,0.0,1.0,0.9865216129912076,-1.0781115915703898,0.5296408563094233,0.004527804304622638,-5.397518157958984,0.4207008438892695,-0.8658332824707031,2.9391240405661727,0.10838001832321606,1.8152266758771722,3.2730031613548656,-16.171673873555847,-4.175508239505292,-1.1818500002105297,0.47910243987093465,0.004527804304622638,-5.397518157958984,0.41310805835880504,-0.8840460777282715,3.2604003683351173,0.0875955243375561,1.985978709270219,2.770256683896301,-13.000350002315827,-3.9197530091797774
Albert Einstein is best known for developing the theory of relativity.,Albert Einstein,0.9974034620513412,0.0,1.0,0.9974034620513412,-0.9922639653377701,0.5935500603779813,0.020857794949531952,-3.870027542114258,0.6197178337775966,-0.4887125939130783,2.697334236131978,0.1250043120305432,1.6604265259363362,2.376796543496579,-13.89169551472878,-3.7127117955356694,-1.0854134399851318,0.5550803107806301,0.020857794949531952,-3.870027542114258,0.5018317074490928,-0.6912484169006348,2.960663622461414,0.11557365928069674,1.7913821645011634,1.917596868066159,-10.854134399851318,-3.432378673311494
The theory of relativity is one of the two pillars of modern physics.,Albert Einstein,0.990739421731133,0.0,1.0,0.990739421731133,-1.1797544118667513,0.5536054732254441,0.018901770945389213,-3.9684996604919434,0.4036041379963781,-0.9073207378387451,3.2535750653376567,0.16071868076029028,1.9182637311570887,2.536431155344478,-20.055825001734775,-4.864252052415058,-1.2557659349986352,0.5306672346816053,0.018901770945389213,-3.9684996604919434,0.4036041379963781,-0.9073207378387451,3.5105261797337546,0.16588463143651389,1.935883187654003,1.635018182074573,-13.813425284984987,-4.164904430900301
Quantum mechanics is the other pillar of modern physics.,Albert Einstein,0.99497802698455,0.0,1.0,0.99497802698455,-2.5193411868262605,0.4400448196338363,5.8250231306960535e-06,-12.05334758758545,0.3623805323980302,-1.0150604248046875,12.42041123699398,0.14088690505335608,13.645284159307225,2.293158155323077,-32.75143542874139,-9.083613829490385,-2.9776115700486114,0.43150637596550856,5.8250231306960535e-06,-12.05334758758545,0.32524138312152945,-1.1530889868736267,19.64084978466554,0.15490515095803903,16.68198197035009,1.523491459616706,-29.776115700486116,-9.416034548623617
Einstein was born in the Kingdom of Württemberg.,Albert Einstein,0.9955922066615722,0.0,1.0,0.9955922066615722,-1.7859862980590802,0.4487613814800751,0.0004072910205954673,-7.80598258972168,0.32746886037673334,-1.118064045906067,5.965460769362644,0.15302305117493267,4.6178121117323245,2.363876211143232,-25.00380817282712,-6.682548824809803,-2.1019993610156233,0.4212303951216839,0.0004072910205954673,-7.80598258972168,0.32746886037673334,-1.118064045906067,8.18251336712641,0.1584162955798253,5.807896080462145,1.557784999478452,-21.019993610156234,-6.647105621027913
Einstein was born in the German Empire.,Albert Einstein,0.9942434405510572,0.0,1.0,0.9942434405510572,-2.8073349032137127,0.22839564340814789,4.7381837588667206e-05,-9.957271575927734,0.19656522682475192,-1.6267609596252441,16.565710114725903,0.04897444466096175,8.005305068020796,2.0800297258416975,-25.266014128923416,-8.422004709641138,-3.548257807890574,0.16298446591748272,4.7381837588667206e-05,-9.957271575927734,0.13864965656409256,-2.0716776847839355,34.752718803174695,0.022184840603419295,10.065734063094665,1.2812020941510025,-21.289546847343445,-8.691421105178286
Einstein was born in the city of Ulm.,Albert Einstein,0.99855663944824,0.0,1.0,0.99855663944824,-2.4598682092672046,0.3333931413018216,0.00025840350149416264,-8.260988235473633,0.14863614581626403,-1.9062539339065552,11.703269055935554,0.13306924453139166,5.834246543767391,1.8024456228602759,-27.05855030193925,-8.158459883862754,-3.292850033513137,0.23161125187161505,0.00025840350149416264,-8.260988235473633,0.0807349332421458,-2.5165839195251465,26.919475838692602,0.10790981264914246,6.827621415096313,0.972519946842408,-23.04995023459196,-8.712062293306463
"Einstein was born on March 14, 1879.",Albert Einstein,0.999093473683475,0.0,1.0,0.999093473683475,-1.0933029742445797,0.5935217211428383,0.006438410567656698,-5.045473575592041,0.7549047770057482,-0.281399741768837,2.984114265226449,0.13944007561907953,2.212322415750683,2.4383730074280985,-17.492847587913275,-4.373211896978319,-0.9934674009148564,0.65383669020887,0.006438410567656698,-5.045473575592041,0.780286266116871,-0.24816064536571503,2.70058225811564,0.13002927770648082,2.440582014719804,1.8432722239653974,-13.90854361280799,-3.717214639152181
His family moved to Munich.,Albert Einstein,0.986659230515734,0.0,1.0,0.986659230515734,-3.314056654809974,0.2709481483969015,0.0001730420619091253,-8.661975860595703,0.046242752922987164,-3.3767987489700317,27.496443108826487,0.12634289619040445,7.523073418550219,0.982138115551239,-26.512453238479793,-9.373567735410152,-3.727472932610129,0.21580458970837244,0.0001730420619091253,-8.661975860595703,0.01507037337875382,-4.195024490356445,41.5739152197594,0.12006538484178021,7.230494042627746,0.7061240767719513,-26.0923105282709,-9.861966398411022
