concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Elon Musk is a business magnate.,Elon Musk,0.9954442824067854,0.0,1.0,0.9954442824067854,-1.4427843420866835,0.48737974758708275,0.004465346677291268,-5.411408424377441,0.3123426903615029,-1.1636543273925781,4.2324640537905704,0.16168015277863906,2.605214558373158,1.7957052030667169,-15.870627762953518,-4.7851743161013,-1.6239128872693982,0.4856115956593598,0.004465346677291268,-5.411408424377441,0.3814952684129067,-0.9803617000579834,5.072901222979882,0.17381534808739169,3.286703374569007,1.114463595588124,-12.991303098155186,-4.5931192585776675,4.23246405379057,5.072901222979882,0.23626898829876788,0.5568842805000473,0.19712585679178435,0.8972926562686694,6.125727085500521,11.0,7.178341250149355,8.0,1.8469762100656872,2.537926887825864
Elon Musk is an engineer.,Elon Musk,0.973542208146366,0.001463661655184,1.0,0.973542208146366,-1.0915079114072594,0.5060255950693917,0.037652730507567636,-3.2793498039245605,0.41138967086793893,-0.8882144093513489,2.9787623975131337,0.13473279569543978,1.119750234665453,1.8039551373234324,-9.823571202665335,-3.2745237342217783,-1.0240694694026995,0.5326704330506645,0.037652730507567636,-3.2793498039245605,0.431018208022349,-0.8426429629325867,2.7845031892431393,0.12284802901638754,1.2067333035848011,1.2274272522294227,-6.1444168164161965,-2.508447661199324,2.9787623975131337,2.78450318924314,0.3357098910725023,0.5543375105678747,0.3591304918820408,0.81471223502954,4.989037595110872,9.0,4.8882734101772405,6.0,1.663012531703624,1.995629263024816
Elon Musk is the CEO of SpaceX.,Elon Musk,0.9989560631815664,0.0,1.0,0.9989560631815664,-0.7345975093655094,0.5869808686370799,0.11793145868286019,-2.1376516819000244,0.469633718077001,-0.7566199898719788,2.084642774434682,0.11077645081061759,0.4611543178243444,2.554803677564019,-8.815170112386113,-2.544720418669233,-0.7531359505228465,0.5720079088644804,0.11793145868286019,-2.1376516819000244,0.469633718077001,-0.7566199898719788,2.1236492442970096,0.09909857713398013,0.4603172599690626,1.822609226366886,-6.025087604182772,-2.1301901510803236,2.084642774434682,2.1236492442970096,0.4796984942761631,0.3914195085837244,0.4708875548471421,0.5486639623751706,4.697034103004692,12.0,4.3893116990013645,8.0,1.3559169518813057,1.5518560335526557
Elon Musk is the CEO of Neuralink.,Elon Musk,0.0083670692930087,0.9671018493476594,0.0,0.9671018493476594,-1.1087364135198117,0.6244668331613519,0.000322965266514021,-8.037965774536133,0.6143270748272909,-0.48722779750823975,3.030526641577805,0.12609739128802205,4.290632823398328,2.194931116327307,-14.41357337575755,-3.997605989919726,-1.2914984823696107,0.6278180977302633,0.000322965266514021,-8.037965774536133,0.6143270748272909,-0.48722779750823975,3.6382343030163913,0.12308762307431552,5.8842385976140354,1.4627369914657802,-11.623486341326497,-3.8744954471088326,3.030526641577805,3.6382343030163913,0.3299756505289664,0.4555951631289738,0.2748586035734199,0.6836499014070325,5.9227371206766595,13.0,6.152849112663293,9.0,1.6426717215148958,2.0509497042210976
"Elon Musk is the CEO of Tesla, Inc.",Elon Musk,0.9983501060739248,0.0,1.0,0.9983501060739248,-0.8943417130399861,0.5550593833701638,0.09412280735627417,-2.363154888153076,0.3979480848678981,-0.930279552936554,2.4457252703753483,0.13743037898689034,0.7209114878970457,2.697746449230646,-12.520783982559806,-3.3463202768961247,-0.9730702305096202,0.530312395738045,0.09412280735627417,-2.363154888153076,0.3979480848678981,-0.930279552936554,2.646056002698043,0.13714426399277801,0.8032760080421321,1.9655520153729027,-9.730702305096202,-3.077118251715467,2.4457252703753483,2.646056002698043,0.40887666824758645,0.370679757649272,0.3779209506451689,0.5087629287746328,5.189516607089808,14.0,5.087629287746328,10.0,1.386956653335973,1.6088496439858577
"Elon Musk was born on June 28, 1971.",Elon Musk,0.9985736391210276,0.0,1.0,0.9985736391210276,-0.7114660234150697,0.7012554027336289,0.009595999033449522,-4.646409034729004,0.890896932314603,-0.11552653461694717,2.0369753242785658,0.11604870068833784,1.4663088605895518,2.568992560764101,-13.517854444886325,-3.101208497829031,-0.5500243158749072,0.7533829289037794,0.009595999033449522,-4.646409034729004,0.9082185823392349,-0.09645210579037666,1.7332951639433674,0.0882691369800842,1.2444476801903879,2.1044988832262663,-8.800389053998515,-2.2000972634996288,2.0369753242785658,1.7332951639433674,0.49092396362443386,0.3892576472477475,0.5769357815116326,0.4751725020955901,7.395895297707202,19.0,7.602760033529441,16.0,1.696734747353335,1.9006900083823604
Elon Musk was born in Pretoria.,Elon Musk,0.9981993502185558,0.0,1.0,0.9981993502185558,-1.4233954792022512,0.5550019020452032,0.0008918386031360417,-7.022225379943848,0.5723680756763686,-0.5811128616333008,4.151191822687274,0.14501266154880324,4.111808322508765,1.858872618964619,-17.080745750427013,-4.930786578484296,-1.4958421260816976,0.5474900909815396,0.0008918386031360417,-7.022225379943848,0.4506471212258643,-0.7970706820487976,4.463093458137987,0.13953270532869247,4.755772427889343,1.4795166103071105,-13.462579134735279,-4.487526378245093,4.151191822687274,4.463093458137987,0.24089467379819854,0.5379604765801511,0.2240598386252934,0.6758964333576661,6.4555257189618125,12.0,6.083067900218995,9.0,1.8635497558015774,2.0276893000729985
Elon Musk was born in South Africa.,Elon Musk,0.9991219159416324,0.0,1.0,0.9991219159416324,-1.0150146280621728,0.5541089966614877,0.03356272096512592,-3.3943393230438232,0.45064687947997495,-0.7970712184906006,2.759403761810842,0.12325931763162966,1.36134408834971,2.1100066951355303,-11.165160908683902,-3.3664226780043682,-0.9433746591530507,0.5453237361895276,0.03356272096512592,-3.3943393230438232,0.4486794352312614,-0.8014562129974365,2.5686350764149553,0.10890792328100124,1.0591844464782172,1.7306479733451468,-7.546997273224406,-2.66826647474668,2.759403761810842,2.568635076414956,0.36239712862598844,0.4739321454786985,0.389311821356773,0.5778182596355013,5.213253600265683,11.0,4.62254607708401,8.0,1.5718551026409733,1.6343168387266884
Elon Musk became a naturalized citizen of the United States in 2002.,Elon Musk,0.0,0.9707540833426154,1.0,0.9707540833426154,-1.1216549830125933,0.6392756888602603,9.297851715358913e-05,-9.28314208984375,0.7444951419712543,-0.29504895210266113,3.0699306845219323,0.11131344574710907,4.758154784146745,3.5114627028054057,-23.55475464326446,-5.140068863279616,-1.305828615619248,0.6354151800113543,9.297851715358913e-05,-9.28314208984375,0.7750850907522504,-0.25556187331676483,3.690746036827491,0.12359638009141984,6.030255805245987,2.4127693371419445,-20.893257849907968,-5.223314462476992,3.0699306845219323,3.690746036827491,0.32574025369427057,0.28478160944186365,0.2709479303158948,0.4144615005695298,5.9804137982791366,21.0,6.631384009112477,16.0,1.305033281798691,1.6578460022781192
Musk attended the University of Pennsylvania.,Elon Musk,0.9991308447344428,0.0,1.0,0.9991308447344428,-2.066585699781879,0.4580751566390238,0.00036010382819891826,-7.9291181564331055,0.45064663773421526,-0.7970717549324036,7.897811531622521,0.11646543253709735,7.517357876721432,1.7829410567757684,-18.59927129803691,-6.199757099345637,-2.4685420187888667,0.4085594445997261,0.00036010382819891826,-7.9291181564331055,0.45064663773421526,-0.7970717549324036,11.805222505704581,0.1011750341505387,8.816080259960323,1.423595923183574,-17.279794131522067,-6.531148282628675,7.897811531622521,11.80522250570458,0.12661735418679468,0.5608710373232294,0.08470827208184978,0.7024465185062553,5.047839335909064,9.0,4.917125629543787,7.0,1.682613111969688,1.8584987972906823
