concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized_v2_no_stopwords
Isaac Newton was born in 1642.,Isaac Newton,0.9982141983446816,0.0,1.0,0.9982141983446816,-0.8181590898505723,0.49350790651284665,0.19009794214878847,-1.6602158546447754,0.433652872324344,-0.8355185091495514,2.2663238962828713,0.054718093895478374,0.23020903616452185,3.545241058740662,-9.817909078206867,-2.8341862245910026,-0.8342470185365528,0.49315521574430826,0.19009794214878847,-1.6602158546447754,0.433652872324344,-0.8355185091495514,2.303079219260977,0.0623378901984037,0.260505169673402,2.8831741708676724,-8.342470185365528,-2.6381207097802166,2.266323896282872,2.303079219260977,0.44124319636754383,0.28206826656668005,0.4342013039051626,0.3468399551106746,3.3848191988001606,12.0,3.4683995511067462,10.0,0.977113137792743,1.09680424170029
Isaac Newton died in 1727.,Isaac Newton,0.9934002933598916,0.0,1.0,0.9934002933598916,-0.9405806390991942,0.5815953037778212,0.010090783915861679,-4.596132755279541,0.6916169995441481,-0.36872294545173645,2.561468275255824,0.10247630650043398,1.605793638351367,2.238395291172247,-10.346387030091137,-3.119553064964713,-0.9583435536827892,0.5931260193863279,0.010090783915861679,-4.596132755279541,0.720212345107742,-0.32899801433086395,2.6073739194457093,0.11126140572359053,1.762902269706959,1.8826400525991072,-9.583435536827892,-3.03054841057746,2.561468275255824,2.6073739194457093,0.3904010873998141,0.4467486167183189,0.38352765306963943,0.5311689818876608,4.914234783901508,11.0,5.311689818876609,10.0,1.4816975372649595,1.6797038051977324
Isaac Newton was an English mathematician.,Isaac Newton,0.98845603830153,0.0,1.0,0.98845603830153,-1.0452141662800303,0.510936932087168,0.05228466365472475,-2.951052188873291,0.3585205731984206,-1.0257692337036133,2.8440075489502368,0.14452410185861317,0.9071926454716749,2.147760082784684,-11.497355829080334,-3.4665832151149996,-0.8380214782114813,0.5779612392190994,0.11227200240528641,-2.186830759048462,0.3585205731984206,-1.0257692337036133,2.311788525024152,0.14645260285477965,0.6620946352317638,1.625588969624613,-7.542193303903332,-2.514064434634444,2.8440075489502368,2.311788525024152,0.3516165069143765,0.4656013527839885,0.4325655176394444,0.6151616544438805,5.1216148806238735,11.0,5.536454889994925,9.0,1.5442249890663864,1.8454849633316415
Isaac Newton was a physicist.,Isaac Newton,0.9915506302792536,0.0,1.0,0.9915506302792536,-1.221129434597161,0.47405652975610796,0.021593613787023708,-3.835357666015625,0.3449895024508279,-1.0642412900924683,3.3910155018347923,0.1431640378459197,1.3332187166177705,1.7770754290656114,-10.99016491137445,-3.6633883037914834,-1.1989522882338082,0.5281281681088099,0.021593613787023708,-3.835357666015625,0.3449895024508279,-1.0642412900924683,3.3166402187813158,0.16900984808749767,1.687116086570471,1.0853694733502488,-8.392666017636657,-3.1721295884984886,3.3910155018347923,3.316640218781316,0.2948969119896165,0.562722315352591,0.30150994200011405,0.9213452419232542,5.06450083817332,9.0,6.44941669346278,7.0,1.688166946057773,2.4376503817615722
Isaac Newton was a scientist.,Isaac Newton,0.9925872182021604,0.0,1.0,0.9925872182021604,-1.5853962943490063,0.3200148603013777,0.027742169081121867,-3.58480167388916,0.20322900814939088,-1.5934218168258667,4.881225397308239,0.08827277533525511,1.0675176793786552,1.7241486720726935,-11.097774060443044,-4.194564324330827,-1.700054270401597,0.33409875796072486,0.027742169081121867,-3.58480167388916,0.19009726230678525,-1.660219430923462,5.47424447311176,0.12022577430407355,1.413779898362925,1.0324427504555178,-8.500271352007985,-3.8014369140567794,4.881225397308239,5.47424447311176,0.20486658955586273,0.5799963867372558,0.18267361001354102,0.9685767075789878,4.059974707160791,7.0,4.842883537894939,5.0,1.53452620062282,2.1658033595695527
Isaac Newton is widely recognized as one of the most influential scientists of all time.,Isaac Newton,0.9950674889831488,0.0,1.0,0.9950674889831488,-0.8146057695643428,0.7020855100631537,0.004919126477129696,-5.314624309539795,0.9405910861685068,-0.06124678626656532,2.258285212074969,0.13343382626718184,2.0310498679087745,1.9334501020780348,-13.848298082593828,-3.3587056311513455,-0.8518482882839938,0.6796869408376215,0.004919126477129696,-5.314624309539795,0.8662852512897841,-0.14723333157598972,2.3439751925695433,0.13156715899905078,2.153023472809457,1.5792036776798737,-10.222179459407926,-2.9508890312969145,2.258285212074969,2.343975192569544,0.4428138636577153,0.5172101410453879,0.4266256755489664,0.6332305415278509,8.792572397771595,17.0,7.598766498334211,12.0,2.1325120421707426,2.1935749416611827
Isaac Newton made important contributions to mathematics.,Isaac Newton,0.9864541036811366,0.0,1.0,0.9864541036811366,-1.458651468125754,0.4653895539347074,0.004001684174830883,-5.521039962768555,0.28401924335542683,-1.2823023200035095,4.300156718188633,0.1457512182121943,2.56358843643929,1.822077834659196,-14.58651468125754,-4.61266095162588,-1.6052238377904158,0.4204558487676176,0.004001684174830883,-5.521039962768555,0.2230493132674968,-1.5003623962402344,4.978973960547204,0.1417554194131197,2.6335970005525127,1.7007416022821489,-14.447014540113742,-4.815671513371247,4.300156718188633,4.978973960547204,0.23254966400881144,0.5488239750125941,0.20084459326838836,0.5879787962252142,5.488239750125941,10.0,5.291809166026929,9.0,1.7355337955471353,1.7639363886756427
Isaac Newton made important contributions to optics.,Isaac Newton,0.9938339897476326,0.0,1.0,0.9938339897476326,-1.7529576034285128,0.4503400219827804,0.004001695623757522,-5.5210371017456055,0.2806775844521482,-1.2975125312805176,5.771647702399269,0.1560871803403789,3.5887820989170884,1.5806741686657262,-17.529576034285128,-5.543338668544287,-1.9322306895628572,0.4037341163566486,0.004001695623757522,-5.5210371017456055,0.21636661234910198,-1.5307810306549072,6.904895753941479,0.15170909598587973,3.666147271342111,1.4593381704991009,-17.390076206065714,-5.7966920686885715,5.771647702399269,6.904895753941479,0.17326074832743185,0.6326414512385667,0.1448247787707984,0.6852421325058571,6.326414512385668,10.0,6.167179192552714,9.0,2.0005879281482226,2.0557263975175712
Isaac Newton made important contributions to physics.,Isaac Newton,0.9892421658799202,0.0,1.0,0.9892421658799202,-1.581496437597606,0.41359729034170534,0.004001705164554741,-5.5210347175598145,0.2564074688062138,-1.3609874248504639,4.8622263882737355,0.12351844964809938,2.581095771831374,1.864436986941772,-14.233467938378453,-4.744489312792818,-1.7617459746543318,0.356572839079604,0.004001705164554741,-5.5210347175598145,0.2232521389431738,-1.5106046199798584,5.822594627328431,0.10969216347841793,2.6113236828278197,1.7431007545647248,-14.093967797234654,-4.982970101624725,4.862226388273736,5.822594627328431,0.20566709983140785,0.5363549462941603,0.17174473993200312,0.5736903029737447,4.827194516647442,9.0,4.5895224237899575,8.0,1.6090648388824809,1.6226412141347994
Newton is perhaps best known for his laws of motion.,Isaac Newton,0.9972689963939072,0.0,1.0,0.9972689963939072,-1.8159471439818542,0.43755343322116697,0.0006052870909222789,-7.4098076820373535,0.3695887847374874,-0.99758380651474,6.146895416181962,0.12468649814959853,4.516644445122848,2.2398846862103525,-21.79136572778225,-6.290625434472334,-1.9822362413009007,0.3788313061076604,0.0006052870909222789,-7.4098076820373535,0.34499180551191055,-1.0642346143722534,7.258957629327572,0.09424093172392395,4.917085201621668,1.979303149483148,-17.840126171708107,-5.946708723902702,6.146895416181962,7.258957629327572,0.16268375046164896,0.44645155447350016,0.13776082614944735,0.5052283174819019,5.357418653682002,12.0,4.547054857337117,9.0,1.546553550932413,1.5156849524457057
