concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Elon Musk is an entrepreneur.,Elon Musk,0.9974771115459246,0.0,1.0,0.9974771115459246,-1.6784769628817837,0.35312024481782434,0.02305872039261314,-3.7697112560272217,0.18616506561281432,-1.7488782405853271,5.357390250144624,0.12165573785025395,1.5638335097764031,1.2088364697784415,-10.070861777290702,-4.11141210407679,-1.8178183785639703,0.34789757683784284,0.02305872039261314,-3.7697112560272217,0.18616506561281432,-1.7488782405853271,6.15840846790821,0.1467293649952721,1.8468090231380039,0.692529614514564,-7.271273514255881,-3.6356367571279407
Elon Musk is an inventor.,Elon Musk,0.9793332304214902,0.0014723684268693,1.0,0.9793332304214902,-2.0940129294370613,0.31530282148087974,0.013843814351867108,-4.279916763305664,0.10817613468337318,-2.229893207550049,8.117424543660242,0.13645745110719923,2.2460387127328407,0.9504018231004036,-12.564077576622367,-5.129263191911437,-2.4411223283968866,0.29117144183242594,0.013843814351867108,-4.279916763305664,0.07732024862235348,-2.7403833866119385,11.485924490764825,0.16726679321196397,2.5669101134068546,0.434094967836526,-9.764489313587546,-4.882244656793773
Elon Musk is a business magnate.,Elon Musk,0.9992425943765536,0.0,1.0,0.9992425943765536,-1.5176712931424845,0.5323410452565905,0.009525722769625478,-4.653759479522705,0.5720847497978876,-0.5637392848730087,4.561590210662786,0.16877949085978008,3.2628136440735407,1.0235547564738527,-12.141370345139876,-4.292622651972829,-1.8356486292323098,0.5190931437428248,0.009525722769625478,-4.653759479522705,0.5472340085862456,-1.0734622795134783,6.269199212805028,0.22319323657501253,3.9424595680577874,0.3905824905219609,-11.013891775393859,-4.4964024886585445
Elon Musk was born in South Africa.,Elon Musk,0.9991219159416324,0.0,1.0,0.9991219159416324,-1.4460820757958572,0.4667839696745598,0.012275044064482585,-4.400187015533447,0.34798374779788466,-1.0816643238067627,4.246444632616703,0.15418205704812724,2.1188263825533658,1.3532164351672096,-11.568656606366858,-4.090137767790278,-1.1667786535108462,0.479411970117602,0.06651987985744087,-2.710254430770874,0.34798374779788466,-1.0816643238067627,3.2116301833446044,0.1470794346393758,1.0203002720918402,1.157326838945745,-7.000671921065077,-2.858012343873186
He is best known for his ambitious projects.,Elon Musk,0.9968503055278942,0.0,1.0,0.9968503055278942,-2.527096732830008,0.3684203120834966,0.00039236969441820013,-7.843306064605713,0.26501626766654884,-1.3279640674591064,12.517112809772097,0.1413920697878564,6.343340310804447,1.3139973243523795,-22.74387059547007,-7.581290198490024,-3.136298240295478,0.2677343258372677,0.00039236969441820013,-7.843306064605713,0.031062615419949445,-3.471750259399414,23.018499996652984,0.1174160230926287,6.446190692059453,0.93513946938636,-21.954087682068348,-8.29786518115133
He is best known for his companies.,Elon Musk,0.9966277719762444,0.0,1.0,0.9966277719762444,-3.114991021575406,0.3786045741547928,0.00039236969441820013,-7.843306064605713,0.24300036365876068,-2.3058621883392334,22.533228039697605,0.1595617385763306,9.374209010845822,0.8848158746505859,-24.91992817260325,-8.810525098764723,-4.0216908765335875,0.2645323442246244,0.00039236969441820013,-7.843306064605713,0.016783514752081716,-4.126384258270264,55.79536919092946,0.13881910188489785,9.164486183731265,0.5059580196845662,-24.130145259201527,-9.851090550713712
His companies are revolutionizing the way we live.,Elon Musk,0.9810904812303068,0.0,1.0,0.9810904812303068,-2.289122198871337,0.3815815362141148,0.0005559718256814521,-7.494792938232422,0.17062199083349666,-1.78145432472229,9.866273253109894,0.15212976733775566,5.2963778821895,1.4368649387643115,-22.89122198871337,-7.238839990886346,-2.570946922962321,0.3735740901688734,0.0005559718256814521,-7.494792938232422,0.12338474638205969,-2.3209272027015686,13.078202629790042,0.17155200043873434,6.070404164097943,0.898891106384035,-20.567575383698568,-7.271736013189382
"Elon Musk was born on June 28, 1971.",Elon Musk,0.9988536511604084,0.0,1.0,0.9988536511604084,-0.9787003904258689,0.6239692158530932,0.012275055770882424,-4.400186061859131,0.8254065117736099,-0.1918792724609375,2.6609957382264855,0.15754909814619852,1.7601852243399383,1.6767265515505283,-12.723105075536296,-3.528754440997096,-0.5577941268301484,0.7260993051970623,0.0927227516693125,-2.378141403198242,0.9731224002706645,-0.027245407924056053,1.7468149949464562,0.11794162255180428,0.7060571903522128,1.37724117046751,-6.135735395131633,-1.8499938289595144
"Elon Musk was born in Pretoria, South Africa.",Elon Musk,0.9985304969784998,0.0,1.0,0.9985304969784998,-1.0508563572571306,0.6084882620018588,0.012275137715993893,-4.400179386138916,0.8455249682222032,-0.16779758036136627,2.8600993364616447,0.1674977304185581,1.9179443344807245,1.384490316889575,-11.559419929828437,-3.48529624558157,-0.7768269959253504,0.6483967528980278,0.07598257844898862,-2.5772511959075928,0.975164858815607,-0.02514873631298542,2.1745614149876316,0.15738715068079448,0.9359779229100376,1.1886004651468356,-6.991442963328154,-2.3304809877760513
Elon Musk developed an interest in computing at an early age.,Elon Musk,0.9971330291329488,0.0,1.0,0.9971330291329488,-2.293261941507808,0.4018395969151321,0.0001894642807420672,-8.571310043334961,0.19484345687787208,-1.6407690048217773,9.90720174341617,0.18228098691031835,6.2755001449396035,1.5302941445212936,-27.519143298093695,-7.944092395511141,-2.573254414011899,0.4259817518603258,0.0001894642807420672,-8.571310043334961,0.1767466012726842,-1.7876537442207336,13.108415309641364,0.19986302990989827,8.339129373347367,0.7986490261665093,-20.58603531209519,-7.278262583464117
