concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
Donald Trump is an American businessman.,Donald Trump,0.9938640175038864,0.0,1.0,0.9938640175038864,-1.9156905480860067,0.3467037168712673,0.010146013590657766,-4.59067440032959,0.12157333993558082,-2.1072375774383545,6.7916271231664505,0.12334207595208943,2.373681250975953,1.2772010966135727,-13.409833836602047,-5.0684407791925965,-1.9391072845552118,0.35258680622012284,0.010146013590657766,-4.59067440032959,0.12157333993558082,-2.1072375774383545,6.952541558200919,0.13821825643168342,2.5515737403242276,0.8569311069373995,-9.695536422776058,-4.335975703930481,6.7916271231664505,6.952541558200919,0.14724012108806284,0.7829620587168646,0.14383229379196488,1.16695495344301,2.0715228933639755,5.4807344110180525,7.0,2.6093906025786726,5.83477476721505,5.0
Donald Trump is a television personality.,Donald Trump,0.991589896461678,0.0,1.0,0.991589896461678,-2.162110676090898,0.46962145893475504,0.00015603689805744514,-8.76541805267334,0.6249956193958118,-0.4700106382369995,8.689458949754092,0.14434016267540742,8.422456746530079,1.0864392336291384,-15.134774732636288,-5.720407155934242,-2.88119286657311,0.37807540119421656,0.00015603689805744514,-8.76541805267334,0.09257232633009424,-2.379765033721924,17.83553590989123,0.17058347545288632,9.977201253357896,0.5928970281909445,-14.405964332865551,-6.442543105944956,8.689458949754092,17.83553590989123,0.1150819637657992,0.9204380411222843,0.05606784147402154,1.6866335172082303,2.4352501540530076,6.443066287855991,7.0,3.7714271976071645,8.433167586041153,5.0
Donald Trump is a politician.,Donald Trump,0.9975600269851356,0.0,1.0,0.9975600269851356,-1.4976791024285678,0.433086991758455,0.040201940724966634,-3.2138400077819824,0.3587842009081328,-1.424889400601387,4.471299590182069,0.1457102756504228,1.6519168411729883,1.029784217082344,-8.986074614571407,-3.668549599379494,-2.0643164485809393,0.30038693262511723,0.040201940724966634,-3.2138400077819824,0.08116688647650812,-2.5212186574935913,7.879909732840894,0.16303706113303867,1.509065425810159,0.5362425779329912,-8.257265794323757,-4.128632897161879,4.471299590182069,7.879909732840894,0.22364862381303344,0.9710772251232099,0.12690500702467772,1.8648276752931763,2.378643702389654,5.826463350739259,6.0,3.7296553505863526,7.459310701172705,4.0
Donald Trump served as the 45th President of the United States.,Donald Trump,0.9998658378005528,0.0,1.0,0.9998658378005528,-1.0764867195414678,0.6739027870887223,0.0003196034692565066,-8.048429489135742,0.8428804391043772,-0.18319443333894014,2.934352217973537,0.1381939615652085,4.348938976510779,1.7320795813479886,-15.07081407358055,-4.027844485936382,-1.3821443386928878,0.6345163021114246,0.0003196034692565066,-8.048429489135742,0.8428804391043772,-0.18319443333894014,3.983434308063985,0.1653551059435195,5.715508372269495,1.088654311834764,-13.821443386928877,-4.370724165376717,2.934352217973537,3.983434308063985,0.34079071826305835,0.5773406780892546,0.2510396614237167,0.9185652315239073,2.1602110128577356,8.082769493249565,14.0,2.9047583110554474,9.185652315239073,10.0
Donald Trump was President from 2017 to 2021.,Donald Trump,0.9988340308708398,0.0,1.0,0.9988340308708398,-1.581630451980835,0.5457651079625327,0.0010946977790780496,-6.817276954650879,0.6697871053231957,-0.4007953703403473,4.862878040208671,0.1627332647900306,4.420753003402198,1.6676192043068854,-20.561195875750855,-5.7026496934521855,-1.1003546561347322,0.6176446497943873,0.006884132667213977,-4.978536128997803,0.7760131439579953,-0.26304372400045395,3.0052316588123813,0.14603166002735288,2.478854447898224,1.317126452336641,-11.00354656134732,-3.4796269473571217,4.862878040208671,3.0052316588123813,0.20563953932866655,0.5996572823204152,0.332753049858121,0.7592285450086858,2.162095079111642,7.795544670165397,13.0,2.4008914668431096,7.592285450086857,10.0
"Donald Trump was born on June 14, 1946.",Donald Trump,0.9991799866948218,1.890999385980881e-05,1.0,0.9991799866948218,-0.9259046726107883,0.6277263298897194,0.047385626683311394,-3.049436330795288,0.8414464005856428,-0.17263296246528625,2.524150757802099,0.16760695566406197,1.3322311147312502,1.5466018423058987,-12.036760743940249,-3.3383967732898956,-0.5836878415747461,0.7305702361395167,0.09257234840105938,-2.3797647953033447,0.9529063453235008,-0.04823865368962288,1.7926372176907792,0.12929201384499656,0.8026346982670671,1.205016267336938,-6.420566257322207,-1.935873565195838,2.524150757802099,1.7926372176907792,0.39617285017902365,0.6465788237450013,0.5578373527735687,0.8298643156162365,2.3312731026417954,8.405524708685018,13.0,2.7523485618041277,9.128507471778603,11.0
"He was born in Queens, New York.",Donald Trump,0.9978950204833114,0.0,1.0,0.9978950204833114,-1.4143221783451736,0.48326502867486965,0.01114459224131765,-4.496800899505615,0.2510797375812254,-1.3819847106933594,4.1136971677349905,0.16030038542091946,2.142906622352536,1.4369917273423982,-12.728899605106562,-4.242966535035521,-1.4698289429901965,0.4882109991504135,0.01114459224131765,-4.496800899505615,0.2510797375812254,-1.3819847106933594,4.348491237531349,0.16885874052426422,2.438517166371851,1.0422454504209302,-10.288802600931376,-3.888801852956994,4.113697167734991,4.348491237531349,0.2430903295077994,0.695898230290734,0.22996481891675669,0.9594668891057585,2.087694690872202,6.263084072616607,9.0,2.538510779774625,6.716268223740309,7.0
His mother was Mary Anne MacLeod.,Donald Trump,0.9981248858273428,0.0,1.0,0.9981248858273428,-2.506271158112213,0.44313294992507285,0.00047502596407747607,-7.652141094207764,0.34042193505094415,-1.4872928857803345,12.259132361129653,0.18543659177075605,7.262617519403626,0.775195038171011,-20.050169264897704,-7.08880532557363,-2.7901433586542095,0.4214352668985687,0.00047502596407747607,-7.652141094207764,0.08582713899128666,-2.4554200172424316,16.283353994185713,0.20816121786254344,7.655466897965416,0.4662827281320036,-19.531003510579467,-7.382025449217535,12.259132361129652,16.283353994185713,0.08157184134586276,1.28999793698292,0.0614124092835585,2.144621577569783,3.6486651558291174,10.31998349586336,8.0,5.674135350592665,15.012351042988481,7.0
His father was Fred Trump.,Donald Trump,0.998687410799763,0.0,1.0,0.998687410799763,-3.6913972080219537,0.28439531444465427,0.0004750246050192355,-7.652143955230713,0.033104574956477506,-3.40811550617218,40.10083704448423,0.15355542462246138,8.761255369485673,0.5230792730449609,-22.148383248131722,-9.042039597588237,-4.341785380896181,0.21239704718033775,0.0004750246050192355,-7.652143955230713,0.03284091941404024,-3.4160799980163574,76.84461384231227,0.1531640066125699,7.975477790894753,0.2398994716018339,-21.708926904480904,-9.708527255398677,40.10083704448423,76.84461384231227,0.024937135324399607,1.911756117153672,0.013013273800191561,4.168412682707866,4.682826999670915,11.470536702922033,6.0,9.32085411680705,20.84206341353933,5.0
He attended Fordham University.,Donald Trump,0.9966373620731204,0.0,1.0,0.9966373620731204,-3.3189965473332754,0.345400502727287,0.0007422026259126909,-7.205888271331787,0.038450417727182544,-3.6093027591705322,27.63260862717158,0.21164725235811446,7.248481450295826,0.2666721501605306,-19.91397928399965,-8.12984799902564,-3.3189965473332754,0.345400502727287,0.0007422026259126909,-7.205888271331787,0.038450417727182544,-3.6093027591705322,27.63260862717158,0.21164725235811446,7.248481450295826,0.2666721501605306,-19.91397928399965,-8.12984799902564,27.63260862717158,27.63260862717158,0.036189127617024336,3.7499228899531603,0.036189127617024336,3.7499228899531603,9.185397655168117,22.499537339718962,6.0,9.185397655168117,22.499537339718962,6.0
He attended the University of Pennsylvania.,Donald Trump,0.9978530001085314,0.0,1.0,0.9978530001085314,-2.330674780100318,0.420035330785968,0.0007422026259126909,-7.205888271331787,0.22324547081389168,-1.499483346939087,10.284879223906799,0.17275515536857183,6.240510775513926,0.8720181210614559,-16.314723460702226,-6.166385855115593,-2.9624929446727037,0.3439546774504282,0.0007422026259126909,-7.205888271331787,0.06914311870824118,-2.671576738357544,19.346140547504824,0.1616933208161233,7.115521939209979,0.5344975570094543,-14.812464723363519,-6.624335607151688,10.2848792239068,19.346140547504824,0.09723011600131766,1.1467651598601636,0.05168989636689967,1.8709159413095535,3.034055425183223,8.027356119021146,7.0,4.183495224956169,9.354579706547767,5.0
"He inherited his father's real estate business, the Trump Organization.",Donald Trump,0.98863415682809,0.0,1.0,0.98863415682809,-2.150635812861415,0.421687971211413,3.8526267938726934e-05,-10.164170265197754,0.26289932603412736,-1.3359841108322144,8.590318496176888,0.15985179449092526,7.242402424374566,1.9758697400582257,-27.958265567198396,-7.754227698121009,-2.2415306787006557,0.42795435626044176,3.8526267938726934e-05,-10.164170265197754,0.21606445229110618,-1.5562415719032288,9.40772046937036,0.17266229880459405,7.738531563471978,1.6086244505136271,-26.89836814440787,-7.764890044467769,8.590318496176888,9.40772046937036,0.11641011918767027,0.5061062375349357,0.10629567526541613,0.6216491361179447,1.8247919902643681,6.5793810879541645,13.0,2.153455776475162,7.459789633415337,12.0
He expanded the Trump Organization into a global brand.,Donald Trump,0.982466115376366,0.006619807420601,1.0,0.982466115376366,-2.947495254315436,0.2887131673841318,2.0649028086630777e-06,-13.09042739868164,0.17225168087287746,-1.9112840294837952,19.058158056071342,0.08989869275731263,13.154128863028385,2.005784563772937,-29.47495254315436,-9.320798396174018,-3.570984494739345,0.28906318317708657,2.0649028086630777e-06,-13.09042739868164,0.07792669558796092,-2.5519866943359375,35.55157626826731,0.11473480190821427,17.253972575825568,1.107054300041744,-24.996891463175416,-9.447936908747947,19.058158056071345,35.55157626826731,0.05247096792134279,0.4985580296415143,0.028128148030740954,0.9032980586067844,1.5765789194329254,4.985580296415144,10.0,2.389902022840999,6.32308641024749,7.0
He became a celebrity through appearances on reality TV shows.,Donald Trump,0.9939271413029565,0.0,1.0,0.9939271413029565,-2.8893400674516503,0.3180916204090425,0.0007932123785017925,-7.1394195556640625,0.18380888259713918,-1.6938587427139282,17.981439148171802,0.13259690148255746,6.692072628298928,1.5705990319573606,-31.782740741968155,-9.582856895477287,-3.562549558468163,0.26630108990772045,0.0007932123785017925,-7.1394195556640625,0.028315210403807325,-3.793576240539551,35.25296215410045,0.12189957667636374,7.324412247332645,0.9075736870189708,-28.500396467745304,-10.076411804423914,17.981439148171802,35.25296215410045,0.05561290126778709,0.6366997429978987,0.02836641061902042,1.1018389077416006,2.111694151639743,7.003697172976885,11.0,3.116471053757058,8.814711261932805,8.0
