concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Albert Einstein was a theoretical physicist.,Albert Einstein,0.9961579210450322,0.0,1.0,0.9961579210450322,-1.6091913961406266,0.48082160733776597,0.013180162315538353,-4.329042434692383,0.5558391751357734,-0.5872762799263,4.998767570445855,0.16651610855000612,2.76315133044741,0.9555337722264522,-11.264339772984385,-4.257520246092922,-2.0605770643800496,0.42441154622466043,0.013180162315538353,-4.329042434692383,0.07973704268363173,-2.5290210247039795,7.850498746641165,0.22024241897805558,3.1507492070084764,0.37172252834094466,-10.302885321900249,-4.607590388830752
Albert Einstein developed the theory of relativity.,Albert Einstein,0.992644189380464,0.0,1.0,0.992644189380464,-1.22831867301031,0.5921328568571818,0.010672602853599415,-4.540075302124023,0.7420254979209517,-0.29837167263031006,3.4154821636926367,0.16704257503575834,2.5321067732986773,1.053633755013623,-11.05486805709279,-3.68495601903093,-1.5363218231129525,0.5127730459179194,0.010672602853599415,-4.540075302124023,0.5586055833589334,-0.5823116302490234,4.64746459780122,0.18175671909230268,2.8224054176853897,0.8299957715926898,-10.754252761790667,-4.064725477718236
"Albert Einstein was born on March 14, 1879.",Albert Einstein,0.9961537833124692,0.0,1.0,0.9961537833124692,-0.8312308815433286,0.6419123150431768,0.06528276121018034,-2.729027271270752,0.8744779380378677,-0.13412821292877197,2.296143281956047,0.15075466095845422,1.1306307166269138,1.7267210622268463,-10.806001460063271,-2.9970455651536048,-0.7176366453376514,0.68890611853091,0.06528276121018034,-2.729027271270752,0.9255594305038519,-0.07735693454742432,2.0495835892819314,0.14696185565726505,1.0395377544623967,1.2687554282348115,-7.894003098714165,-2.3801314883943405
"Albert Einstein was born in Ulm, Germany.",Albert Einstein,0.9941912339004264,0.0,1.0,0.9941912339004264,-1.782796284253709,0.5850420816277092,3.064191403551299e-05,-10.393141746520996,0.7964769809768588,-0.2369442693889141,5.946461187728772,0.1751480596248628,9.283294759570099,1.1331109197014488,-17.82796284253709,-5.6376968623267,-2.1692592879699077,0.5321833567904218,3.064191403551299e-05,-10.393141746520996,0.5673730489569686,-0.8411633260548115,8.751799076430933,0.2020151157309313,10.852641868677942,0.7854831927112662,-17.354074303759262,-6.135591810701693
Albert Einstein is famous for his equation E=mc^2.,Albert Einstein,0.9976336953233916,0.0,1.0,0.9976336953233916,-1.444975383946887,0.5608331911481306,0.0058561265321284426,-5.1402668952941895,0.6812046890135868,-0.3838924467563629,4.241747726447954,0.17650332589916223,3.233013462892505,1.4433640103590928,-18.78467999130953,-5.209932838603766,-1.4622594007312066,0.5743507614162208,0.0058561265321284426,-5.1402668952941895,0.6812046890135868,-0.3838924467563629,4.315699415462711,0.17659767464352474,3.538211505241992,1.152853190449574,-16.084853408043273,-4.8497657783953505
Albert Einstein won the Nobel Prize in Physics in 1921.,Albert Einstein,0.9974867205884664,0.0,1.0,0.9974867205884664,-0.8961752581660851,0.6392491578088771,0.02386436427990125,-3.7353689670562744,0.7322934972658803,-0.31157389283180237,2.450213731665308,0.1248750940443941,1.5940658246424348,1.915324255233965,-11.650278356159106,-3.231205845119998,-1.0592456680024043,0.6176223692668584,0.02386436427990125,-3.7353689670562744,0.7946381591048348,-0.23295564949512482,2.8841945282641137,0.15660348049070044,1.9499183190756135,1.2142231105770214,-10.592456680024043,-3.3496289125541345
Albert Einstein immigrated to the United States in 1933.,Albert Einstein,0.99809055980484,0.0,1.0,0.99809055980484,-1.1701834684667678,0.6679865503650568,0.0003738943864935783,-7.891537189483643,0.6943015851340588,-0.3648488521575928,3.222583826808373,0.13707538375707248,4.679524803283723,1.5299751430098474,-15.212385090067983,-4.21915649725723,-1.4766307404264807,0.6068128066214682,0.0003738943864935783,-7.891537189483643,0.6892834084335224,-0.37212926149368286,4.378169612809885,0.15709695854250272,5.669197692233184,1.2005083595975083,-14.766307404264808,-4.6695164027685525
Albert Einstein worked at Princeton University.,Albert Einstein,0.0040062966221855,0.9803086695316172,0.0,0.9803086695316172,-2.571870284720457,0.31825301547787926,0.0012817576098320155,-6.659523010253906,0.07763316011301932,-2.555760622024536,13.090284118897669,0.18131175267732363,4.348716601478379,0.7032622860904216,-18.0030919930432,-6.80452917768721,-2.5745552285031104,0.3583563247053559,0.0012817576098320155,-6.659523010253906,0.06217422842619373,-2.819393277168274,13.1254780215384,0.20027245024658202,5.073452239262963,0.504850512510241,-15.447331371018663,-6.306346624447171
Albert Einstein became a U.S. citizen in 1940.,Albert Einstein,0.997834243242838,0.0,1.0,0.997834243242838,-1.7341992668628405,0.5483885415301318,0.0005618509759836853,-7.484273910522461,0.6516161575396735,-0.42829960584640503,5.664390322358629,0.14052418512789164,6.475847249610291,1.951590820899809,-22.544590469216928,-6.252744378546031,-1.9595137018160047,0.534132562333932,0.0005618509759836853,-7.484273910522461,0.6516161575396735,-0.42829960584640503,7.095875514606661,0.1608848989203611,7.313074556974748,1.40025074301301,-21.554650719976053,-6.4989717204840405
"Albert Einstein passed away on April 18, 1955.",Albert Einstein,0.9991056141017086,0.0,1.0,0.9991056141017086,-1.1326403296373497,0.6649358044263073,0.0006758708357018473,-7.299508571624756,0.8755936110862421,-0.1328532099723816,3.10384085367,0.1472618531552178,4.049629795098723,1.4605024285308805,-14.724324285285547,-4.0837927851659,-1.1438596198374096,0.6896293985380471,0.0006758708357018473,-7.299508571624756,0.9001905187221626,-0.1055222935974598,3.138859821597733,0.1516066175794664,4.385462602546572,1.0926237175920592,-13.726315438048914,-3.9624459565696286
