concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords,unc_exp_mean_logprobs,unc_exp_mean_logprobs_no_stopwords,unc_Inv_PPL,unc_Inv_entropy,unc_Inv_PPL_no_stopwords,unc_Inv_entropy_no_stopwords,unc_Inv_entropy_normalized_v2,unc_Inv_entropy_normalized,unc_seq_len,unc_Inv_entropy_normalized_v2_no_stopwords,unc_Inv_entropy_normalized_no_stopwords,unc_seq_len_no_stopwords
Van Gogh was a Dutch painter.,Vincent van Gogh,0.999290442455099,0.0,1.0,0.999290442455099,-1.5581073593930341,0.46676116439564086,0.013870356965884892,-4.278001308441162,0.4283447147954108,-0.890008807182312,4.749823024692752,0.15562017772244127,2.47099498487653,1.2454086685807082,-12.464858875144273,-4.406993118573918,-1.9336988802533597,0.40280386481172353,0.013870356965884892,-4.278001308441162,0.18535411263243814,-1.9641342163085938,6.915040903290826,0.18721079039266067,2.7211792372582635,0.713272852112946,-11.602193281520158,-4.736575572811922,4.749823024692752,6.915040903290826,0.2105341598626585,0.8029492850243442,0.14461230439347164,1.401988028897602,2.271083537558415,6.423594280194753,8.0,3.434155296289482,8.411928173385613,6.0
Van Gogh was born in 1853.,Vincent van Gogh,0.9980473449163128,0.0,1.0,0.9980473449163128,-1.5501226515043527,0.4649028357281363,0.013870396649351252,-4.277998447418213,0.45333147289524767,-0.8144894540309906,4.712048086936043,0.1565579453000522,2.350332539103933,1.5421688431148453,-15.501226515043527,-4.901918231373188,-1.8538112249807455,0.39618232928939123,0.013870396649351252,-4.277998447418213,0.20503551035170467,-1.9789468050003052,6.384104473950237,0.16309741456197877,2.459602453940671,1.1453742467995656,-14.830489799845964,-5.243369952894502,4.712048086936043,6.384104473950237,0.21222194288985682,0.6484374291859105,0.15663904061727216,0.8730770774654887,2.0505391963316204,6.484374291859105,10.0,2.4694348878975187,6.9846166197239095,8.0
"He created over 2,100 artworks.",Vincent van Gogh,0.9988630501178302,0.0,1.0,0.9988630501178302,-2.283988567224393,0.43589877011374134,0.0033184825573053843,-5.708247661590576,0.11150072839351628,-2.1937241554260254,9.815753227053696,0.2062995515309124,4.745119243672502,0.7032487634632553,-20.55589710501954,-6.85196570167318,-2.283988567224393,0.43589877011374134,0.0033184825573053843,-5.708247661590576,0.11150072839351628,-2.1937241554260254,9.815753227053696,0.2062995515309124,4.745119243672502,0.7032487634632553,-20.55589710501954,-6.85196570167318,9.815753227053696,9.815753227053696,0.10187705180320235,1.4219719279353558,0.10187705180320235,1.4219719279353558,4.265915783806067,12.7977473514182,9.0,4.265915783806067,12.7977473514182,9.0
Van Gogh struggled with mental illness.,Vincent van Gogh,0.9890646385626866,0.0,1.0,0.9890646385626866,-1.9841398695134558,0.5215628202560486,0.004186536170602347,-5.475881576538086,0.5944978154153064,-0.6125186160206795,7.27278914672098,0.19590140751453733,5.1821859667822,0.6766156040658817,-15.873118956107646,-5.611995026222224,-2.2615985956176052,0.4590806421205817,0.004186536170602347,-5.475881576538086,0.3502010917260963,-1.0492477416992188,9.59842090246721,0.19265514219733917,5.306631490220388,0.6364084943066171,-15.831190169323236,-5.983627449457115,7.27278914672098,9.59842090246721,0.13749883020475873,1.4779440408865157,0.10418380379036689,1.5713178075813161,4.180257014100413,11.823552327092125,8.0,4.157316149507405,10.999224653069213,7.0
"He is famous for ""Starry Night."".",Vincent van Gogh,0.9967238067715228,0.0,1.0,0.9967238067715228,-3.2791319847779556,0.39026209132687645,2.9337664570827415e-06,-12.73922348022461,0.04860245523254486,-3.024081230163574,26.552714533500346,0.19384099678052846,15.021527306484977,0.789617782167725,-29.5121878630016,-9.837395954333866,-3.7723051743648415,0.35694141803890694,2.9337664570827415e-06,-12.73922348022461,0.04860245523254486,-3.024081230163574,43.4801787949901,0.1836123818714103,17.558813012093278,0.6154137869601173,-26.40613622055389,-9.980581360811518,26.552714533500342,43.4801787949901,0.0376609328864793,1.2664355116911323,0.022998985462203816,1.6249229724598393,3.799306535073397,11.397919605220192,9.0,4.299142084764592,11.374460807218874,7.0
Van Gogh cut off part of his ear.,Vincent van Gogh,0.9963355206523667,0.0,1.0,0.9963355206523667,-1.3026067854836583,0.5904377186489321,0.013870396649351252,-4.277998447418213,0.7631066521670646,-0.31252545211464167,3.6788742147895466,0.18528863015827143,2.723825731685042,0.9987546303167998,-13.026067854836583,-4.119204337718717,-1.447199381991393,0.5450721992168999,0.013870396649351252,-4.277998447418213,0.546086882469382,-0.6049771904945374,4.251191863074868,0.1852959521980318,2.817402845557117,0.9974828339613486,-13.024794437922537,-4.341598145974179,3.6788742147895466,4.251191863074868,0.2718222862798276,1.0012469225627572,0.235228150647782,1.0025235181528436,3.166220775532546,10.012469225627571,10.0,3.007570554458531,9.022711663375592,9.0
His post-impressionist works influenced modern art.,Vincent van Gogh,0.9969260129031547,0.0,1.0,0.9969260129031547,-2.3415326170244954,0.3533458521595295,0.0014141072219996322,-6.5612568855285645,0.07627733411364371,-2.6707863807678223,10.397159221175157,0.16724794154399422,4.073670111758215,1.2130926302910277,-23.415326170244953,-7.404576285372162,-2.3415326170244954,0.3533458521595295,0.0014141072219996322,-6.5612568855285645,0.07627733411364371,-2.6707863807678223,10.397159221175157,0.16724794154399422,4.073670111758215,1.2130926302910277,-23.415326170244953,-7.404576285372162,10.397159221175157,10.397159221175157,0.09618011792715177,0.8243393579599065,0.09618011792715177,0.8243393579599065,2.6067899360741573,8.243393579599065,10.0,2.6067899360741573,8.243393579599065,10.0
Van Gogh's work gained recognition after his death.,Vincent van Gogh,0.9955567532587702,0.0,1.0,0.9955567532587702,-2.214307369537313,0.39489583568720316,0.0012439237307235278,-6.689484596252441,0.10710816746751273,-2.2339160442352295,9.155065837602962,0.19958123864133845,4.179723141942092,1.0889961589848338,-24.35738106491044,-7.344026715274107,-2.214307369537313,0.39489583568720316,0.0012439237307235278,-6.689484596252441,0.10710816746751273,-2.2339160442352295,9.155065837602962,0.19958123864133845,4.179723141942092,1.0889961589848338,-24.35738106491044,-7.344026715274107,9.155065837602962,9.155065837602962,0.10922914348607529,0.918276884403526,0.10922914348607529,0.918276884403526,3.045579879223054,10.101045728438786,11.0,3.045579879223054,10.101045728438786,11.0
He died in 1890.,Vincent van Gogh,0.9956211552201074,0.0,1.0,0.9956211552201074,-1.9392060222370284,0.3087621027823838,0.022378523997651317,-3.7996535301208496,0.26303255495878375,-1.3354774713516235,6.953228069928841,0.09068500052357245,1.9815665950226202,1.4697968152754834,-13.574442155659199,-5.130656875757968,-2.039827447384596,0.3163836940863171,0.022378523997651317,-3.7996535301208496,0.20275992726979603,-2.1357350945472717,7.689282278632753,0.10539254669947185,2.2409549958019643,1.11852276389597,-12.238964684307575,-4.996536409416161,6.953228069928841,7.689282278632753,0.14381809282580227,0.6803661496657757,0.13005114960844072,0.8940363417520991,1.8000796324821935,4.7625630476604295,7.0,2.1899328487971625,5.364218050512594,6.0
"Van Gogh's brother, Theo, supported him financially.",Vincent van Gogh,0.996783857103188,0.0,1.0,0.996783857103188,-1.8822688257399325,0.4792891090755001,0.008110767350231557,-4.814562797546387,0.45334558137923786,-1.1405489891767502,6.568390502786123,0.19528949571925827,3.7445806071891585,1.1522064677326636,-22.58722590887919,-6.520370479369145,-1.8822688257399325,0.4792891090755001,0.008110767350231557,-4.814562797546387,0.45334558137923786,-1.1405489891767502,6.568390502786123,0.19528949571925827,3.7445806071891585,1.1522064677326636,-22.58722590887919,-6.520370479369145,6.568390502786123,6.568390502786123,0.15224429783458043,0.8679000057757195,0.15224429783458043,0.8679000057757195,3.0064938117857363,10.414800069308633,12.0,3.0064938117857363,10.414800069308633,12.0
He created over 800 paintings.,Vincent van Gogh,0.9993746118867164,0.0,1.0,0.9993746118867164,-3.1214923624481474,0.2398350570743645,0.0068123836704362065,-4.989013195037842,0.022378523997651317,-3.7996535301208496,22.680201480684296,0.13487771206899424,3.5020203555244995,0.6353486911886822,-21.85044653713703,-8.258692510425291,-3.1214923624481474,0.2398350570743645,0.0068123836704362065,-4.989013195037842,0.022378523997651317,-3.7996535301208496,22.680201480684296,0.13487771206899424,3.5020203555244995,0.6353486911886822,-21.85044653713703,-8.258692510425291,22.680201480684296,22.680201480684296,0.04409131906749836,1.5739388683229785,0.04409131906749836,1.5739388683229785,4.164250824401038,11.017572078260848,7.0,4.164250824401038,11.017572078260848,7.0
Van Gogh lived in France for several years.,Vincent van Gogh,0.9897618038248251,0.0,1.0,0.9897618038248251,-2.1831368161831053,0.40315960090989583,0.005973146185845621,-5.120481491088867,0.19018321686691647,-1.8752232193946838,8.874099063023895,0.17958331501460584,4.035453339064567,1.151052018916446,-21.83136816183105,-6.9036847829069545,-2.514385098416824,0.39189284421067727,0.005973146185845621,-5.120481491088867,0.06251404265077148,-2.80259370803833,12.359006869248127,0.21855071455799413,4.467325192991426,0.4797959483631526,-20.11508078733459,-7.111755014419763,8.874099063023895,12.359006869248129,0.11268749569933749,0.8687704669866787,0.08091265022986723,2.084219350770987,2.7472934395660245,8.687704669866786,10.0,5.895062545641554,16.673754806167896,8.0
"Van Gogh's painting ""Sunflowers"" is iconic.",Vincent van Gogh,0.9946634846600766,0.0,1.0,0.9946634846600766,-2.0521577494606995,0.4455204607636922,0.00042288503283783495,-7.7684102058410645,0.30625327485934706,-1.3793071508407593,7.7846803869613685,0.18037869476065338,5.213137842789095,1.4698191512476475,-24.625892993528396,-7.10888297442427,-2.1900751045905054,0.43278321687479565,0.00042288503283783495,-7.7684102058410645,0.1318642387584164,-2.02598237991333,8.935884215421863,0.19482990933808997,5.45880510270882,1.1564678791580008,-24.09082615049556,-7.263657384625065,7.784680386961368,8.935884215421863,0.1284574253908881,0.6803558105438725,0.11190834347138975,0.8647019238684591,2.356821662173385,8.16426972652647,12.0,2.867891836970139,9.51172116255305,11.0
He worked as a missionary before becoming a painter.,Vincent van Gogh,0.9947052432006316,0.0,1.0,0.9947052432006316,-2.482961040735245,0.3041212402054163,0.001125825280332024,-6.789238929748535,0.047422257286470135,-3.0538229942321777,11.976675389011818,0.11616278866351055,4.08700491492463,1.546667091518959,-24.829610407352448,-7.851812230185494,-2.9737073353358676,0.238874110300162,0.001125825280332024,-6.789238929748535,0.04124739442698435,-3.1881673336029053,19.564316795740794,0.11051723613947775,4.3172568461100225,0.8916995323375508,-20.815951347351074,-7.867690081187262,11.976675389011818,19.5643167957408,0.0834956252481774,0.6465515465373447,0.051113463886339375,1.1214539917706856,2.0445755117623614,6.465515465373447,10.0,2.96708836902591,7.850177942394799,7.0
Vincent van Gogh is one of the most iconic artists in history.,Vincent van Gogh,0.9947433497952842,0.0,1.0,0.9947433497952842,-1.5632367953606132,0.5207841329788403,0.0023083543799530502,-6.071220397949219,0.4668414558412082,-0.762994110584259,4.77424953129866,0.18253577872338442,3.5204982574400434,1.7264992792935137,-21.885315135048586,-5.849096502637863,-1.7985957875542227,0.4808804466061852,0.0023083543799530502,-6.071220397949219,0.340722981770531,-1.1831989586353302,6.041158435745603,0.18561045535181522,4.100746856999175,1.216802166266715,-17.985957875542226,-5.68765927865567,4.77424953129866,6.041158435745603,0.20945700333513706,0.5792067288954801,0.16553116602322307,0.8218262818089088,2.167193135640945,8.108894204536721,14.0,2.5988428915035553,8.218262818089087,10.0
Vincent van Gogh is one of the most influential artists in history.,Vincent van Gogh,0.995805178944271,0.0,1.0,0.995805178944271,-1.3684645263160096,0.5451290268544858,0.009788623235764644,-4.626534461975098,0.5084599523675284,-0.6818183064460754,3.9293127048144867,0.17408245700004513,2.624365411145714,1.7789243890469637,-19.158503368424135,-5.1203254034284,-1.5258373096279683,0.5149975844977289,0.009788623235764644,-4.626534461975098,0.5084599523675284,-0.6818183064460754,4.598992738507497,0.17615907176116186,2.953382732109178,1.269163146474745,-15.258373096279684,-4.825121237287947,3.929312704814487,4.598992738507497,0.2544974338068654,0.5621374388687411,0.21743891692347578,0.7879207671429962,2.10332570052541,7.8699241441623755,14.0,2.491624239919029,7.879207671429963,10.0
"Vincent van Gogh was born on March 30, 1853.",Vincent van Gogh,0.9984858090456716,0.0,1.0,0.9984858090456716,-0.8820430353545816,0.655938416819916,0.03839378958903966,-3.259859561920166,0.881730905643684,-0.12586836516857147,2.415830294721863,0.1574147975084265,1.4564944129829587,1.684149337717978,-13.230645530318725,-3.4161379865665347,-0.7779559487635896,0.6935912495904059,0.03839378958903966,-3.259859561920166,0.9002366893426401,-0.10509756207466125,2.1770177785674316,0.15179926232971713,1.3432861709353874,1.313829885557214,-10.113427333926666,-2.8049600633193585,2.415830294721863,2.177017778567432,0.4139363605899027,0.5937715721546403,0.4593439749757311,0.7611335462778621,2.2996674104063177,8.906573582319604,15.0,2.744306028580575,9.894736101612207,13.0
"Vincent van Gogh was born in Groot-Zundert, Netherlands.",Vincent van Gogh,0.999362345328206,0.0,1.0,0.999362345328206,-1.14446202677791,0.6620397566499654,0.0007055818006213611,-7.256487846374512,0.8263630454327296,-0.1907210797071457,3.1407512621907925,0.15065284633887516,3.841158395723099,1.5924331923399715,-17.16693040166865,-4.432482370077632,-1.2936886332620186,0.6341064465673083,0.0007055818006213611,-7.256487846374512,0.8263630454327296,-0.1907210797071457,3.646211317365827,0.16701464329458623,4.263729581581404,1.3129249973694002,-16.817952232406242,-4.664460701711136,3.1407512621907925,3.646211317365827,0.31839515979449523,0.6279698293217366,0.2742572804920262,0.7616581312745342,2.4321166908837997,9.419547439826049,15.0,2.7461974466844152,9.901555706568944,13.0
Vincent van Gogh was a post-Impressionist painter.,Vincent van Gogh,0.9989113344268096,0.0,1.0,0.9989113344268096,-1.1166099666916125,0.6655481845531259,0.0041351914762335846,-5.488221645355225,0.8945166412891875,-0.11147177219390869,3.054481836726111,0.17364967464881376,2.934436630238052,1.0377779615293925,-14.515929566990962,-4.0259944896007465,-1.2780376932089645,0.6418020005539119,0.0041351914762335846,-5.488221645355225,0.9656802003788801,-0.03492255508899689,3.589588935180329,0.2013745787890268,3.298299362039255,0.6760497662771824,-14.05841462529861,-4.238771496305481,3.054481836726111,3.589588935180329,0.32738777097192734,0.9635972597898317,0.2785834305982346,1.4791810453640437,3.4742993290688324,12.526764377267812,13.0,4.905888524478202,16.27099149900448,11.0
Vincent van Gogh was known for his bold works of art.,Vincent van Gogh,0.9988404530946544,0.0,1.0,0.9988404530946544,-1.8334005590866302,0.5631518650534079,2.7792944114990045e-05,-10.490728378295898,0.7686975583737187,-0.263057678937912,6.255121443053227,0.17188555586924428,8.263909729560124,1.4560624728551088,-23.834207268126193,-6.610419724251191,-2.3102400423653306,0.49692203592964523,2.7792944114990045e-05,-10.490728378295898,0.46213773763075194,-1.2328848019242287,10.076843234006219,0.20426232184986462,9.75749831308213,0.8846735838017963,-23.102400423653307,-7.305620475598335,6.255121443053227,10.07684323400622,0.15986899840459112,0.6867837188600553,0.09923742751354019,1.1303604157621616,2.476233913503774,8.928188345180718,13.0,3.574513490703325,11.303604157621615,10.0
Vincent van Gogh was known for his expressive works of art.,Vincent van Gogh,0.999084437143673,0.0,1.0,0.999084437143673,-1.8673149480320996,0.5438092083805925,0.0007582966845952846,-7.184435844421387,0.7644670734089013,-0.26857632398605347,6.470898354051888,0.17375356023754798,5.967911442223469,1.3905224266986802,-24.275094324417296,-6.73269979257011,-2.329706078178424,0.48855379199241833,0.0007582966845952846,-7.184435844421387,0.46213773763075194,-1.2328848019242287,10.274921065658386,0.21008084391650442,6.826521815370798,0.7153033840689469,-23.29706078178424,-7.3671774857821175,6.470898354051888,10.274921065658386,0.15453804793175727,0.719154168821396,0.09732434863585232,1.3980082050102698,2.5929472306492296,9.349004194678148,13.0,4.420890115436072,13.980082050102698,10.0
Vincent van Gogh was known for his emotionally charged works of art.,Vincent van Gogh,0.9964490151120742,0.0,1.0,0.9964490151120742,-1.8487784310824023,0.5540070433077402,3.2122527340045636e-05,-10.345952987670898,0.6975507332385631,-0.36480265855789185,6.352055307978616,0.16311163971889645,7.9501241060663235,1.7072852047890923,-25.88289803515363,-6.917495473167809,-2.2597704748768592,0.5090845461136506,3.2122527340045636e-05,-10.345952987670898,0.6306343930682249,-0.4610289931297302,9.580889859451103,0.19515476702107712,9.32356405085708,1.0190716137782876,-24.85747522364545,-7.494810777489786,6.352055307978616,9.580889859451103,0.1574293597135295,0.5857252187243864,0.10437443856152322,0.9812853056444404,2.191583091259883,8.20015306214141,14.0,3.2545551711118264,10.794138362088843,11.0
Vincent van Gogh was the eldest son of a Protestant pastor.,Vincent van Gogh,0.9961851234011708,3.1083855168084906e-05,1.0,0.9961851234011708,-1.7095288979370917,0.5176881144497083,0.0004458115098864713,-7.715614318847656,0.6189704756312105,-0.47969770431518555,5.526357385910806,0.1622272829865022,4.950949179250032,1.748871362635492,-22.223875673182192,-6.163794098399629,-1.9678035694766247,0.47162771110416607,0.0004458115098864713,-7.715614318847656,0.46250486808007957,-0.7710981965065002,7.154943879750137,0.1714936786077856,5.785447030838586,1.1992512804012732,-17.71023212528962,-5.903410708429874,5.526357385910806,7.154943879750137,0.18095101893870524,0.5717973439127236,0.13976350014850455,0.8338536021119751,2.061644642651442,7.433365470865406,13.0,2.5015608063359256,7.504682419007777,9.0
Van Gogh grew up in a family that valued education.,Vincent van Gogh,0.993049958031063,8.422877072577494e-05,1.0,0.993049958031063,-2.001676332865221,0.44191040774790274,0.00017962785874026506,-8.62462329864502,0.2253996506079732,-1.5576415657997131,7.401453004279143,0.1696076563292359,5.7707108625287695,1.705659273170823,-24.02011599438265,-6.934010217661429,-2.3543852501083165,0.37217866989163834,0.00017962785874026506,-8.62462329864502,0.139342599030224,-1.9716906547546387,10.531652538982504,0.17357415758234251,6.177178434904572,1.3390262005990827,-23.543852501083165,-7.445219879847471,7.401453004279143,10.531652538982504,0.13510860629958077,0.5862835653811436,0.09495186024211667,0.7468113764708997,2.0309458457655403,7.035402784573722,12.0,2.3616249321735236,7.468113764708996,10.0
Vincent van Gogh was a sensitive child.,Vincent van Gogh,0.986386716370852,0.0,1.0,0.986386716370852,-2.2074853717527327,0.5242111100682303,4.855591337645806e-05,-9.932794570922852,0.7644672784549764,-0.268576055765152,9.092822551917902,0.19343496881534197,9.542220160938454,0.8315987391582466,-19.867368345774594,-6.622456115258198,-2.7728362665740343,0.4465136045865418,4.855591337645806e-05,-9.932794570922852,0.1034908164771969,-2.2682723999023438,16.003961199614082,0.2212492005476208,10.82981841322551,0.4698708239471685,-19.40985386601824,-7.336235187655695,9.092822551917902,16.003961199614082,0.10997685199400214,1.202503025692669,0.06248453039389485,2.1282445068613973,3.6075090770780065,10.82252723123402,9.0,5.630805694294555,14.897711548029779,7.0
Vincent van Gogh was an introverted child.,Vincent van Gogh,0.99034756966315,0.0,1.0,0.99034756966315,-2.0908086554773035,0.4809896721014987,0.0010890259363455519,-6.822471618652344,0.4339786848751885,-1.2684257328510284,8.091455719407646,0.1980374318827533,5.476696581263379,0.9203102658307286,-20.908086554773035,-6.611717502902562,-2.2172906940886605,0.49880897843701527,0.0010890259363455519,-6.822471618652344,0.48818405278265986,-1.2021173983812332,9.182419151904993,0.21449648867374105,6.332718259869228,0.5555487503214044,-17.738325552709284,-6.271445142607674,8.091455719407646,9.182419151904991,0.12358715596767887,1.0865900741608467,0.10890376309956827,1.80002204922874,3.4360995172795485,10.865900741608469,10.0,5.091231189179791,14.40017639382992,8.0
Vincent van Gogh developed a strong interest in art.,Vincent van Gogh,0.992581230934118,0.0,1.0,0.992581230934118,-2.144109108542166,0.5286051108289122,0.00015771925303503776,-8.754693984985352,0.6533168566704041,-0.4256930351257324,8.534434594572943,0.17511240295836916,8.63377791615058,1.2520575644094722,-23.58520019396383,-7.111205422617766,-2.5077565992946296,0.4948554237015432,0.00015771925303503776,-8.754693984985352,0.6533168566704041,-0.4256930351257324,12.277356113004393,0.18536366833406065,9.768260441252494,0.882166469454238,-22.569809393651667,-7.523269797883889,8.534434594572943,12.277356113004393,0.11717237842983777,0.7986853228043439,0.08145076112443968,1.1335728965289975,2.648939541305892,8.785538550847782,11.0,3.4007186895869923,10.202156068760978,9.0
